season,param,sub_param,mean,var
2012,position,TE,1.0214893846083537,0.32128792861265687
2012,position,SCB,1.0856534460664031,0.47460397803078974
2012,position,OG,1.087138848408483,0.2287900742153552
2012,position,SWR,1.827661952009453,0.5435458939713893
2012,position,WR,1.8972511905530003,0.1815192789918036
2013,intercept,home,0.01790530956495905,2.893728101166248e-5
2013,intercept,pass,0.08746913713555426,1.2643679411134028e-4
2013,variance,model,0.9909348255804942,5.0820537089071925e-5
2013,variance,player,2.4650988665180553e-4,3.118878665856399e-9
2013,variance,play_type,0.2648780252215252,0.34604039479526527
2013,position,DT,0.6003397260922384,0.07297900129463301
2013,position,OLB,0.6238268384150433,0.17629774104967144
2013,position,OG,0.718159243989207,0.1915483031584274
2013,position,C,0.7409137621196765,0.2599240712704077
2013,position,ILB,0.7456522702597125,0.13138601568873998
2013,position,OT,0.752573208817722,0.19057441922388413
2013,position,SCB,0.8666301645340035,0.24961073870613293
2013,position,S,0.8858754692915902,0.18662022507356818
2013,position,QB,0.9133867180362218,0.4186219890327904
2013,position,TE,0.9329983623311777,0.26117099661389925
2013,position,CB,1.0287358998968548,0.2065475436438687
2013,position,RB,1.1550057187938838,0.30331263416601156
2013,position,DE,1.3092805473946356,0.14374322064423686
2013,position,WR,1.371712244185845,0.3099416460280454
2013,position,SWR,1.7632247297178798,0.6151747846459454
2014,intercept,home,0.011178488980421113,3.0515821456977986e-5
2014,intercept,pass,0.10832638346662465,1.2005760784494008e-4
2014,variance,model,0.9913584532149999,4.802580906967382e-5
2014,variance,player,2.2876507296433425e-4,3.13024134941186e-9
2014,variance,play_type,0.3046191069447546,0.40456577232573165
2014,position,ILB,0.5418298962618038,0.07219067800019757
2014,position,DT,0.5708699050861494,0.09628761748571751
2014,position,QB,0.5892672151297407,0.13238131083917118
2014,position,OLB,0.6335841290127318,0.346488074199667
2014,position,DE,0.6759952559997452,0.0998479017125086
2014,position,SWR,0.7969636930165906,0.21410109707886874
2014,position,SCB,0.8628551972551812,0.40442347027186026
2014,position,RB,0.9346225296121647,0.21381288581212138
2014,position,CB,1.0028133601313898,0.2626765882973781
2014,position,S,1.0226428602366338,0.211812204415287
2014,position,TE,1.1228337375565292,0.3436943561388917
2014,position,C,1.1878876454507705,0.590578428707059
2014,position,WR,1.317927482494503,0.4124416197837371
2014,position,OT,1.3317635914052937,0.22510067164938188
2014,position,OG,1.3430197232196501,0.24597154220146217
2015,intercept,home,0.0107898698860591,2.9303549832401218e-5
2015,intercept,pass,0.11846833222561051,1.168714688110368e-4
2015,variance,model,0.9898240008491828,6.008228369924078e-5
2015,variance,player,2.5357051080132783e-4,3.3648534401134673e-9
2015,variance,play_type,0.2708776299153305,0.4008408459849801
2015,position,OG,0.3726306440932914,0.09554061773926878
2015,position,TE,0.5269205964153713,0.1177730920561123
2015,position,OT,0.5991072915453604,0.07239320239767683
2015,position,DE,0.6375813099761238,0.13085427252425916
2015,position,OLB,0.7538556554259945,0.19378005212765115
2015,position,CB,0.7672332558654524,0.21282652401611699
2015,position,QB,0.8220108016677152,0.1760163316819727
2015,position,SWR,0.8605586497920716,0.24755279254994822
2015,position,DT,0.8905568456356188,0.1412144084917536
2015,position,SCB,0.9943674650663104,0.5484750003512959
2015,position,C,1.0587103607068822,0.39084099318850923
2015,position,RB,1.1034784024450022,0.19915807582754277
2015,position,ILB,1.4503776110502993,0.21579558658377773
2015,position,WR,1.5962576859265987,0.22513545551657857
2015,position,S,1.9127734770100604,0.33331721419536814
2016,intercept,home,0.021113977494401245,2.9643677712605636e-5
2016,intercept,pass,0.11447707687480965,1.1958447563304776e-4
2016,variance,model,0.9895787867178596,5.469415346919777e-5
2016,variance,player,2.6356341329124104e-4,2.9623604161086242e-9
2016,variance,play_type,0.34365657183286463,0.300441790083628
2016,position,DT,0.49931827869377876,0.09165090402727571
2016,position,S,0.6239807840819522,0.12361120066993728
2016,position,OLB,0.7361771919111257,0.16105815815327842
2016,position,ILB,0.7475061867576811,0.13995423932944653
2016,position,QB,0.9114763382622606,0.48384321476993936
2016,position,SWR,0.9146617814175757,0.2929308050124644
2016,position,RB,0.9347323608844171,0.20460414382609543
2016,position,CB,1.0024731652621766,0.231025327000609
2016,position,DE,1.0256706449454343,0.1891083387791434
2016,position,OT,1.0708761507844118,0.291486949545125
2016,position,SCB,1.096032937036203,0.30369498937450995
2016,position,C,1.1368606998899797,0.3813605291750714
2016,position,WR,1.1496634389370457,0.3562630073869651
2016,position,TE,1.1725265455890141,0.38014352552441716
2016,position,OG,1.3066134339541513,0.4687777517200029
2017,intercept,home,0.013946303395579007,3.1887086348856296e-5
2017,intercept,pass,0.07508110452702763,1.2179702381470376e-4
2017,variance,model,0.9910367843491332,6.145287575897988e-5
2017,variance,player,2.966295124055514e-4,6.6288462233648024e-9
2017,variance,play_type,0.30352734157134104,0.37145412604605316
2017,position,S,0.585408357850674,0.1178170771132772
2017,position,TE,0.6147741827497031,0.173116699229576
2017,position,OT,0.750313267726286,0.12102816805211308
2017,position,ILB,0.8770175934771025,0.17933941966354472
2017,position,OLB,0.8783924534837118,0.23354603002016885
2017,position,C,0.8845155560907783,0.36080625145150946
2017,position,DT,0.8916506655337366,0.10185506384722991
2017,position,CB,0.9371252251993265,0.12862624277011384
2017,position,SCB,0.9601035497274516,0.48043038974163327
2017,position,OG,1.0370525108129778,0.218320066128238
2017,position,DE,1.160789292883902,0.2565648964062299
2017,position,QB,1.2174486913857872,0.31299164180100636
2017,position,RB,1.2254377760652972,0.2477488221763926
2017,position,WR,1.2709800223226746,0.2046735427780848
2017,position,SWR,1.3903256200507113,0.5213745323089644
2018,intercept,home,0.01151098646713674,3.292841509994531e-5
2018,intercept,pass,0.07043549551482202,1.2981391631036377e-4
2018,variance,model,0.9923002994537637,5.782070961928367e-5
2018,variance,player,2.1208283826150935e-4,3.2086607185363145e-9
2018,variance,play_type,0.32533426721549585,0.24112690437202333
2018,position,OLB,0.5890895274074064,0.1257922887880605
2018,position,C,0.6070631056814391,0.2770886613447599
2018,position,ILB,0.6721327238246995,0.09815524068918759
2018,position,DT,0.6739188308049975,0.11327304151072023
2018,position,DE,0.6795561108356709,0.262730768871564
2018,position,TE,0.75721778174483,0.15620837642630672
2018,position,OG,0.8979808868584073,0.15778547716587735
2018,position,OT,0.9126991462044469,0.3024912105783376
2018,position,S,0.9845301480787292,0.2001286482245824
2018,position,SCB,0.9849996480773752,0.3963670300556337
2018,position,CB,1.0503311379261788,0.28654607922925945
2018,position,QB,1.132660166594213,0.37057156682485515
2018,position,RB,1.2811671607560942,0.3771333464095487
2018,position,WR,1.550893984209031,0.19401476359425632
2018,position,SWR,1.9672186644350829,0.6040601612637945
2019,intercept,home,-0.0037267317292491737,3.3039224544219197e-5
2019,intercept,pass,0.08443983212594598,1.1987882559840203e-4
2019,variance,model,0.9894849408170991,5.644475131406322e-5
2019,variance,player,2.7614703604925773e-4,4.468188822756312e-9
2019,variance,play_type,0.3338387319850453,0.36047110296075907
2019,position,C,0.4479919463960227,0.17141075004268877
2019,position,DT,0.5209631020091956,0.09832958572296166
2019,position,OLB,0.6076843173878728,0.21764676656245813
2019,position,ILB,0.682424690173945,0.1501213434656312
2019,position,OG,0.731102949065969,0.23890094774384116
2019,position,WR,0.799021124757003,0.15386846314081457
2019,position,OT,0.8567455978445151,0.30040939086725116
2019,position,S,1.098720033845447,0.22370231858247627
2019,position,SCB,1.1145451833658075,0.30221599661001264
2019,position,QB,1.1241587395244967,0.3103557883753683
2019,position,DE,1.1919450831768934,0.25881291396514694
2019,position,RB,1.312357333009062,0.2588166179213428
2019,position,SWR,1.3304676222448246,0.6040563382124934
2019,position,TE,1.5141793948480262,0.3378846225857648
2019,position,CB,1.7532523893860317,0.2854817788325519
